audio_id,file_name,instrument_label,instrument_family,source_dataset,performing_style,sample_rate,duration,bit_depth,channels,license,path,notes
cello_001,cello_A3_phrase_cresc-decresc_arco-normal.mp3,cello,string,philharmonia,arco-normal,44100,8.243083900226758,16,1,free,cello_clean/cello_001.wav,"Nốt: A3, Cường độ: cresc-decresc"
cello_002,cello_A3_phrase_fortissimo_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,9.34140589569161,16,1,free,cello_clean/cello_002.wav,"Nốt: A3, Cường độ: fortissimo"
cello_003,cello_A3_phrase_fortissimo_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,3.0,16,1,free,cello_clean/cello_003.wav,"Nốt: A3, Cường độ: fortissimo"
cello_004,cello_A3_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,9.225306122448979,16,1,free,cello_clean/cello_004.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_005,cello_A3_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,3.0,16,1,free,cello_clean/cello_005.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_006,cello_A3_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,8.145578231292516,16,1,free,cello_clean/cello_006.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_007,cello_A3_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,3.0,16,1,free,cello_clean/cello_007.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_008,cello_A3_phrase_mezzo-forte_arco-spiccato.mp3,cello,string,philharmonia,arco-spiccato,44100,9.798820861678005,16,1,free,cello_clean/cello_008.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_009,cello_A3_phrase_mezzo-forte_arco-staccato.mp3,cello,string,philharmonia,arco-staccato,44100,7.309659863945578,16,1,free,cello_clean/cello_009.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_010,cello_A3_phrase_mezzo-forte_arco-staccato.mp3,cello,string,philharmonia,arco-staccato,44100,3.0,16,1,free,cello_clean/cello_010.wav,"Nốt: A3, Cường độ: mezzo-forte"
cello_011,cello_A4_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,8.250068027210885,16,1,free,cello_clean/cello_011.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_012,cello_A4_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,3.0,16,1,free,cello_clean/cello_012.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_013,cello_A4_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,7.936598639455783,16,1,free,cello_clean/cello_013.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_014,cello_A4_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,3.0,16,1,free,cello_clean/cello_014.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_015,cello_A4_phrase_mezzo-forte_arco-spiccato.mp3,cello,string,philharmonia,arco-spiccato,44100,9.206712018140589,16,1,free,cello_clean/cello_015.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_016,cello_A4_phrase_mezzo-forte_arco-staccato.mp3,cello,string,philharmonia,arco-staccato,44100,9.810430839002267,16,1,free,cello_clean/cello_016.wav,"Nốt: A4, Cường độ: mezzo-forte"
cello_017,cello_C2_phrase_forte_con-sord.mp3,cello,string,philharmonia,con-sord,44100,10.0,16,1,free,cello_clean/cello_017.wav,"Nốt: C2, Cường độ: forte"
cello_018,cello_C2_phrase_forte_con-sord.mp3,cello,string,philharmonia,con-sord,44100,7.0620408163265305,16,1,free,cello_clean/cello_018.wav,"Nốt: C2, Cường độ: forte"
cello_019,cello_C2_phrase_forte_con-sord.mp3,cello,string,philharmonia,con-sord,44100,3.0,16,1,free,cello_clean/cello_019.wav,"Nốt: C2, Cường độ: forte"
cello_020,cello_C2_phrase_forte_molto-vibrato.mp3,cello,string,philharmonia,molto-vibrato,44100,9.097596371882085,16,1,free,cello_clean/cello_020.wav,"Nốt: C2, Cường độ: forte"
cello_021,cello_C2_phrase_forte_molto-vibrato.mp3,cello,string,philharmonia,molto-vibrato,44100,3.0,16,1,free,cello_clean/cello_021.wav,"Nốt: C2, Cường độ: forte"
cello_022,cello_C2_phrase_forte_non-vibrato.mp3,cello,string,philharmonia,non-vibrato,44100,10.0,16,1,free,cello_clean/cello_022.wav,"Nốt: C2, Cường độ: forte"
cello_023,cello_C2_phrase_forte_non-vibrato.mp3,cello,string,philharmonia,non-vibrato,44100,4.129342403628118,16,1,free,cello_clean/cello_023.wav,"Nốt: C2, Cường độ: forte"
cello_024,cello_C2_phrase_forte_snap-pizz.mp3,cello,string,philharmonia,snap-pizz,44100,10.0,16,1,free,cello_clean/cello_024.wav,"Nốt: C2, Cường độ: forte"
cello_025,cello_C2_phrase_forte_snap-pizz.mp3,cello,string,philharmonia,snap-pizz,44100,7.020226757369614,16,1,free,cello_clean/cello_025.wav,"Nốt: C2, Cường độ: forte"
cello_026,cello_C2_phrase_fortissimo_arco-au-talon.mp3,cello,string,philharmonia,arco-au-talon,44100,10.0,16,1,free,cello_clean/cello_026.wav,"Nốt: C2, Cường độ: fortissimo"
cello_027,cello_C2_phrase_fortissimo_arco-au-talon.mp3,cello,string,philharmonia,arco-au-talon,44100,3.52562358276644,16,1,free,cello_clean/cello_027.wav,"Nốt: C2, Cường độ: fortissimo"
cello_028,cello_C2_phrase_fortissimo_arco-sul-ponticello.mp3,cello,string,philharmonia,arco-sul-ponticello,44100,9.469115646258503,16,1,free,cello_clean/cello_028.wav,"Nốt: C2, Cường độ: fortissimo"
cello_029,cello_C2_phrase_fortissimo_arco-sul-ponticello.mp3,cello,string,philharmonia,arco-sul-ponticello,44100,3.0,16,1,free,cello_clean/cello_029.wav,"Nốt: C2, Cường độ: fortissimo"
cello_030,cello_C2_phrase_fortissimo_pizz-normal.mp3,cello,string,philharmonia,pizz-normal,44100,10.0,16,1,free,cello_clean/cello_030.wav,"Nốt: C2, Cường độ: fortissimo"
cello_031,cello_C2_phrase_fortissimo_pizz-normal.mp3,cello,string,philharmonia,pizz-normal,44100,7.414965986394558,16,1,free,cello_clean/cello_031.wav,"Nốt: C2, Cường độ: fortissimo"
cello_032,cello_C2_phrase_mezzo-forte_arco-col-legno-tratto.mp3,cello,string,philharmonia,arco-col-legno-tratto,44100,10.0,16,1,free,cello_clean/cello_032.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_033,cello_C2_phrase_mezzo-forte_arco-col-legno-tratto.mp3,cello,string,philharmonia,arco-col-legno-tratto,44100,9.685895691609977,16,1,free,cello_clean/cello_033.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_034,cello_C2_phrase_mezzo-forte_arco-col-legno-tratto.mp3,cello,string,philharmonia,arco-col-legno-tratto,44100,3.0,16,1,free,cello_clean/cello_034.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_035,cello_C2_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,10.0,16,1,free,cello_clean/cello_035.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_036,cello_C2_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,4.071292517006802,16,1,free,cello_clean/cello_036.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_037,cello_C2_phrase_mezzo-forte_arco-glissando.mp3,cello,string,philharmonia,arco-glissando,44100,10.0,16,1,free,cello_clean/cello_037.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_038,cello_C2_phrase_mezzo-forte_arco-glissando.mp3,cello,string,philharmonia,arco-glissando,44100,8.93124716553288,16,1,free,cello_clean/cello_038.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_039,cello_C2_phrase_mezzo-forte_arco-glissando.mp3,cello,string,philharmonia,arco-glissando,44100,3.0,16,1,free,cello_clean/cello_039.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_040,cello_C2_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,9.167256235827665,16,1,free,cello_clean/cello_040.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_041,cello_C2_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,3.0,16,1,free,cello_clean/cello_041.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_042,cello_C2_phrase_mezzo-forte_arco-spiccato.mp3,cello,string,philharmonia,arco-spiccato,44100,7.286439909297052,16,1,free,cello_clean/cello_042.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_043,cello_C2_phrase_mezzo-forte_arco-spiccato.mp3,cello,string,philharmonia,arco-spiccato,44100,3.0,16,1,free,cello_clean/cello_043.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_044,cello_C2_phrase_mezzo-forte_arco-staccato.mp3,cello,string,philharmonia,arco-staccato,44100,7.774058956916099,16,1,free,cello_clean/cello_044.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_045,cello_C2_phrase_mezzo-forte_arco-staccato.mp3,cello,string,philharmonia,arco-staccato,44100,3.0,16,1,free,cello_clean/cello_045.wav,"Nốt: C2, Cường độ: mezzo-forte"
cello_046,cello_C2_phrase_mezzo-piano_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,10.0,16,1,free,cello_clean/cello_046.wav,"Nốt: C2, Cường độ: mezzo-piano"
cello_047,cello_C2_phrase_mezzo-piano_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,8.989297052154194,16,1,free,cello_clean/cello_047.wav,"Nốt: C2, Cường độ: mezzo-piano"
cello_048,cello_C2_phrase_mezzo-piano_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,3.0,16,1,free,cello_clean/cello_048.wav,"Nốt: C2, Cường độ: mezzo-piano"
cello_049,cello_C2_phrase_piano_arco-sul-tasto.mp3,cello,string,philharmonia,arco-sul-tasto,44100,9.561995464852608,16,1,free,cello_clean/cello_049.wav,"Nốt: C2, Cường độ: piano"
cello_050,cello_C2_phrase_piano_arco-sul-tasto.mp3,cello,string,philharmonia,arco-sul-tasto,44100,3.0,16,1,free,cello_clean/cello_050.wav,"Nốt: C2, Cường độ: piano"
cello_051,cello_C2_phrase_piano_con-sord.mp3,cello,string,philharmonia,con-sord,44100,10.0,16,1,free,cello_clean/cello_051.wav,"Nốt: C2, Cường độ: piano"
cello_052,cello_C2_phrase_piano_con-sord.mp3,cello,string,philharmonia,con-sord,44100,7.340680272108844,16,1,free,cello_clean/cello_052.wav,"Nốt: C2, Cường độ: piano"
cello_053,cello_C2_phrase_piano_con-sord.mp3,cello,string,philharmonia,con-sord,44100,3.0,16,1,free,cello_clean/cello_053.wav,"Nốt: C2, Cường độ: piano"
cello_054,cello_C2_phrase_piano_pizz-normal.mp3,cello,string,philharmonia,pizz-normal,44100,10.0,16,1,free,cello_clean/cello_054.wav,"Nốt: C2, Cường độ: piano"
cello_055,cello_C2_phrase_piano_pizz-normal.mp3,cello,string,philharmonia,pizz-normal,44100,7.983854875283447,16,1,free,cello_clean/cello_055.wav,"Nốt: C2, Cường độ: piano"
cello_056,cello_C3_phrase_cresc-decresc_arco-normal.mp3,cello,string,philharmonia,arco-normal,44100,7.983038548752835,16,1,free,cello_clean/cello_056.wav,"Nốt: C3, Cường độ: cresc-decresc"
cello_057,cello_C3_phrase_cresc-decresc_arco-normal.mp3,cello,string,philharmonia,arco-normal,44100,3.0,16,1,free,cello_clean/cello_057.wav,"Nốt: C3, Cường độ: cresc-decresc"
cello_058,cello_C3_phrase_fortissimo_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,9.689705215419501,16,1,free,cello_clean/cello_058.wav,"Nốt: C3, Cường độ: fortissimo"
cello_059,cello_C3_phrase_fortissimo_arco-tremolo.mp3,cello,string,philharmonia,arco-tremolo,44100,3.0,16,1,free,cello_clean/cello_059.wav,"Nốt: C3, Cường độ: fortissimo"
cello_060,cello_C3_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,10.0,16,1,free,cello_clean/cello_060.wav,"Nốt: C3, Cường độ: mezzo-forte"
cello_061,cello_C3_phrase_mezzo-forte_arco-detache.mp3,cello,string,philharmonia,arco-detache,44100,3.1076643990929704,16,1,free,cello_clean/cello_061.wav,"Nốt: C3, Cường độ: mezzo-forte"
cello_062,cello_C3_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,9.666485260770974,16,1,free,cello_clean/cello_062.wav,"Nốt: C3, Cường độ: mezzo-forte"
cello_063,cello_C3_phrase_mezzo-forte_arco-legato.mp3,cello,string,philharmonia,arco-legato,44100,3.0,16,1,free,cello_clean/cello_063.wav,"Nốt: C3, Cường độ: mezzo-forte"
