audio_id,file_name,instrument_label,instrument_family,source_dataset,performing_style,sample_rate,duration,bit_depth,channels,license,path,notes
dan_Tranh_001,FX_01.wav,dan_tranh,string,VCSL,fx,44100,9.125442176870749,16,1,free,dataset_clean/dan_Tranh_001.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_002,FX_03.wav,dan_tranh,string,VCSL,fx,44100,4.574331065759637,16,1,free,dataset_clean/dan_Tranh_002.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_003,FX_22.wav,dan_tranh,string,VCSL,fx,44100,5.23609977324263,16,1,free,dataset_clean/dan_Tranh_003.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_004,Gliss_Dwn_Med_ff_1.wav,dan_tranh,string,VCSL,glissando,44100,4.051882086167801,16,1,free,dataset_clean/dan_Tranh_004.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_005,Gliss_Dwn_Med_mf_1.wav,dan_tranh,string,VCSL,glissando,44100,4.748480725623582,16,1,free,dataset_clean/dan_Tranh_005.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_006,Gliss_Dwn_Slw_ff_1.wav,dan_tranh,string,VCSL,glissando,44100,4.794920634920635,16,1,free,dataset_clean/dan_Tranh_006.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_007,Gliss_Dwn_Slw_mf_2.wav,dan_tranh,string,VCSL,glissando,44100,4.504671201814059,16,1,free,dataset_clean/dan_Tranh_007.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_008,Gliss_Dwn_Swl_ff_1.wav,dan_tranh,string,VCSL,glissando,44100,5.897868480725624,16,1,free,dataset_clean/dan_Tranh_008.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_009,Gliss_Dwn_Swl_mf_1.wav,dan_tranh,string,VCSL,glissando,44100,6.989206349206349,16,1,free,dataset_clean/dan_Tranh_009.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_010,Gliss_Up_Med_mf_1.wav,dan_tranh,string,VCSL,glissando,44100,3.436553287981859,16,1,free,dataset_clean/dan_Tranh_010.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_011,Gliss_Up_Slw_ff_2.wav,dan_tranh,string,VCSL,glissando,44100,4.435011337868481,16,1,free,dataset_clean/dan_Tranh_011.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_012,Gliss_Up_Slw_mf_1.wav,dan_tranh,string,VCSL,glissando,44100,4.400181405895691,16,1,free,dataset_clean/dan_Tranh_012.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_013,Gliss_Up_Swl_ff_1.wav,dan_tranh,string,VCSL,glissando,44100,5.189659863945578,16,1,free,dataset_clean/dan_Tranh_013.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_014,Gliss_Up_Swl_mf_1.wav,dan_tranh,string,VCSL,glissando,44100,5.6540589569161,16,1,free,dataset_clean/dan_Tranh_014.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_015,B1_f_1.wav,dan_tranh,string,VCSL,pluck,44100,3.053424036281179,16,1,free,dataset_clean/dan_Tranh_015.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_016,B1_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,3.4713832199546486,16,1,free,dataset_clean/dan_Tranh_016.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_017,B2_f_1.wav,dan_tranh,string,VCSL,pluck,44100,3.297233560090703,16,1,free,dataset_clean/dan_Tranh_017.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_018,C#2_f_1.wav,dan_tranh,string,VCSL,pluck,44100,4.829750566893424,16,1,free,dataset_clean/dan_Tranh_018.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_019,C#2_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,5.433469387755102,16,1,free,dataset_clean/dan_Tranh_019.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_020,C#3_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,3.1695238095238096,16,1,free,dataset_clean/dan_Tranh_020.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_021,D#2_f_1.wav,dan_tranh,string,VCSL,pluck,44100,3.4713832199546486,16,1,free,dataset_clean/dan_Tranh_021.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_022,D#2_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,3.030204081632653,16,1,free,dataset_clean/dan_Tranh_022.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_023,D#3_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,3.877732426303855,16,1,free,dataset_clean/dan_Tranh_023.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_024,G#2_mf_1.wav,dan_tranh,string,VCSL,pluck,44100,3.308843537414966,16,1,free,dataset_clean/dan_Tranh_024.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_025,B1_Trem_1.wav,dan_tranh,string,VCSL,tremolo,44100,7.7090249433106575,16,1,free,dataset_clean/dan_Tranh_025.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
dan_Tranh_026,B2_Trem_1.wav,dan_tranh,string,VCSL,tremolo,44100,7.778684807256236,16,1,free,dataset_clean/dan_Tranh_026.wav,Đoạn cắt thứ 1 trên 1 đoạn của file gốc (3-10s)
